Tangential Coordintae (mm)	Measured Slope (rad)
-35.	-0.0006376677040688664
-34.8	-0.0006341194628259596
-34.6	-0.0006306493073809263
-34.4	-0.0006271307396738169
-34.2	-0.0006235487415019191
-34.	-0.0006200295819871388
-33.8	-0.0006166461081818765
-33.6	-0.000613303085425175
-33.4	-0.0006098653044592099
-33.2	-0.0006065914182795566
-33.	-0.0006034007069278035
-32.8	-0.0006000891764668559
-32.6	-0.0005967633523994847
-32.4	-0.0005933726009208864
-32.2	-0.0005898852371433294
-32.	-0.0005864455313358519
-31.8	-0.0005829630226755659
-31.6	-0.0005795552093740333
-31.4	-0.000576180992237404
-31.2	-0.0005728706285135869
-31.	-0.0005695845831407465
-30.8	-0.0005661930415582177
-30.6	-0.0005629034645414573
-30.4	-0.0005596462848765247
-30.2	-0.0005562472910901346
-30.	-0.0005528227735293476
-29.8	-0.0005494094877126093
-29.6	-0.0005461199168125174
-29.4	-0.0005427131927439628
-29.2	-0.0005392456983292355
-29.	-0.000535933122646777
-28.8	-0.0005326448654812847
-28.6	-0.0005294143696637732
-28.4	-0.000526194264573488
-28.2	-0.0005228108526212004
-28.	-0.0005193890818993171
-27.8	-0.0005160226832270279
-27.6	-0.0005126880625719686
-27.4	-0.0005092438580328395
-27.2	-0.0005057799148180905
-27.	-0.0005026021041150288
-26.8	-0.0004994473211139386
-26.6	-0.0004960998944675228
-26.4	-0.0004927298317005536
-26.2	-0.0004894639762482379
-26.	-0.000486097944234567
-25.8	-0.0004826836522955494
-25.6	-0.00047934199350714417
-25.4	-0.000476044733867258
-25.2	-0.00047270928870945373
-25.	-0.00046934812913013965
-24.8	-0.0004660622272072977
-24.6	-0.0004626737257558068
-24.4	-0.000459319029133585
-24.2	-0.00045609977103173863
-24.	-0.0004527842968577236
-23.8	-0.0004494788686393648
-23.6	-0.00044622703946848815
-23.4	-0.0004430445596822552
-23.2	-0.0004398438598138215
-23.	-0.00043645791054176033
-22.8	-0.0004330833454389357
-22.6	-0.0004298319281181873
-22.4	-0.0004265326271220017
-22.2	-0.00042321041323328774
-22.	-0.00041989950787249845
-21.8	-0.00041666662649752687
-21.6	-0.00041340252742733444
-21.4	-0.00041011723411783844
-21.2	-0.00040686438593694766
-21.	-0.00040356191047764286
-20.8	-0.0004002639928359872
-20.6	-0.0003970569669640473
-20.4	-0.00039381842424980953
-20.2	-0.0003905612479868896
-20.	-0.00038740314233155976
-19.8	-0.0003841337346002857
-19.6	-0.00038081560291962086
-19.4	-0.0003775921413684463
-19.2	-0.00037440294574252257
-19.	-0.00037122872272546474
-18.8	-0.00036796123191654064
-18.6	-0.00036466573823523154
