Tangential Coordintae (mm)	Measured Slope (rad)
-16.	-0.00021360786139054918
-15.8	-0.00021072106436239202
-15.6	-0.00020786019789682824
-15.4	-0.00020515796120091192
-15.2	-0.00020254469479573305
-15.	-0.00019991317918936785
-14.8	-0.00019710635104956445
-14.6	-0.00019425279743015683
-14.4	-0.00019156941399951595
-14.2	-0.00018890521912100406
-14.	-0.00018606549969244765
-13.8	-0.0001832128948231606
-13.6	-0.00018058436776343528
-13.4	-0.0001778996519995413
-13.2	-0.00017508010116394418
-13.	-0.0001723117065143144
-12.8	-0.00016967164334087017
-12.6	-0.00016706570280227047
-12.4	-0.0001643403434102848
-12.2	-0.00016145331814812884
-12.	-0.00015856098844402444
-11.8	-0.0001558625872810995
-11.6	-0.00015309305765486727
-11.4	-0.00015018454118153758
-11.2	-0.0001473748056376097
-11.	-0.00014476491273822932
-10.8	-0.0001420281930294686
-10.6	-0.0001391427787084973
-10.4	-0.00013645342772579527
-10.2	-0.00013384549836425853
-10.	-0.00013125814543906399
-9.8	-0.00012848771842498846
-9.6	-0.00012573092329484745
-9.4	-0.00012295271298051115
-9.2	-0.0001203445580610867
-9.	-0.00011756169926301222
-8.8	-0.00011468555322423457
-8.6	-0.00011199930305314516
-8.4	-0.00010930823635757112
-8.2	-0.00010653711304569142
-8.	-0.00010360824643678221
-7.8	-0.00010096209581954246
-7.6	-0.00009837166486138864
-7.4	-0.00009571600924599506
-7.2	-0.00009293065945605908
-7.	-0.00009000586538935817
-6.8	-0.00008725666156824087
-6.6	-0.00008448535690052444
-6.4	-0.00008157500174196327
-6.2	-0.00007858581352970807
-6.	-0.00007586209009031838
-5.8	-0.00007311042493430512
-5.6	-0.00007026116764581471
-5.4	-0.00006750812859273167
-5.2	-0.00006493544248292728
-5.	-0.00006240232858438974
-4.8	-0.00005977025368067847
-4.6	-0.000056990133893246386
-4.4	-0.00005426556082228161
-4.2	-0.000051650369889881726
-4.	-0.00004897733913302997
-3.8	-0.000046038305646750255
-3.6	-0.000043217244979032404
-3.4	-0.000040522569818571365
-3.2	-0.00003776495342067404
-3.	-0.0000347844992820435
-2.8	-0.000032001022232448854
-2.6	-0.000029376435387908148
-2.4	-0.000026739345254239832
-2.2	-0.00002393935272273754
-2.	-0.000021106053834089226
-1.8	-0.00001833482888356582
-1.6	-0.00001569951886671716
-1.4	-0.000012945501056817048
-1.2	-0.000010084089228646727
-1.	-7.420404879564162e-6
-0.8	-4.753725857053364e-6
-0.6	-1.92896883907683e-6
-0.4	8.615192719204136e-7
-0.2	3.4994487632452223e-6
0	6.095096675224109e-6
0.2	8.684360863052458e-6
0.4	0.00001150117576017576
0.6	0.000014274340328559643
0.8	0.000016994242423343485
1.	0.000019650642438135056
1.2	0.000022462132416807
1.4	0.000025312939623765372
1.6	0.000027981054470646843
1.8	0.000030653751288178194
2.	0.000033544652104754705
2.2	0.00003635172100602731
2.4	0.00003899693952146269
2.6	0.000041629235117253165
2.8	0.00004433417371477571
3.	0.000047154964206700996
3.2	0.00004997766433337996
3.4	0.00005262193134128013
3.6	0.00005529768201611003
3.8	0.000058113248090636716
4.	0.000060908119252476445
4.2	0.00006354829797024648
4.4	0.00006624588722599393
4.6	0.00006911225869649825
4.8	0.00007193207751411956
5.	0.00007455566927291344
5.2	0.00007718040334385424
5.4	0.00007990046863833628
5.6	0.00008275841925470148
5.8	0.00008555746187905735
6.	0.00008822758815439181
6.2	0.00009093892145173236
6.4	0.00009382665726758761
6.6	0.00009653426077834614
6.8	0.0000991324902154659
7.	0.00010186642278052268
7.2	0.00010474551232170569
7.4	0.0001074423138096412
7.6	0.00011005630925948387
7.8	0.00011268837081254632
8.	0.00011547717028707104
8.2	0.00011833668653612924
8.4	0.00012110767058669538
8.6	0.00012375298301049004
8.8	0.00012655015751358427
9.	0.00012944420274146672
9.2	0.00013213170149186827
9.4	0.00013479728214544942
9.6	0.00013760504707823837
9.8	0.00014037354849669864
10.	0.00014297230235998639
10.2	0.00014550922859079564
10.4	0.0001481190620070057
10.6	0.0001508795320802618
10.8	0.0001537331979096464
11.	0.0001563932085495919
11.2	0.000159070215850458
11.4	0.00016188834677179252
11.6	0.00016470477015457263
